申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,Y,住宅大樓(11F含以上有電梯),8630000,,,,Y,1100407,,1,35,32.8,其他:第四種住宅區,,,214.04,住家用,鋼筋混凝土造,14,810717,29,三層,0,0,必忠街39號三樓之1,鹽埕區,大成段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),1230000,,,,Y,1100413,,1,37,3.85,其他:第五種商業區,,,40.49,,鋼筋混凝土造,12,720523,38,九層,,,莒光街219號9樓之6,鹽埕區,鹽新段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),520000,,,,Y,1100323,屋主不負物之瑕疵擔保責任.除法定原因之外,1,5,1.98,其他:第四種商業區,,,23.43,,鋼筋混凝土造,12,690618,41,五層,,,府北路36號5樓之20,鹽埕區,府北段五小段
買賣,土地,1,0,,,,,Y,,7050000,,,,N,1100426,,1,41,48,其他:第五種商業區,,,,,,,,,,,,鹽壽段30-0地號,鹽埕區,鹽壽段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9700000,,,1300000,Y,1100310,,1,29,8.94,其他:第五種商業區,,,136.38,見其它登記事項,見其它登記事項,15,1090515,1,十五層,1300000,16.41,大公路101號十五樓之5,鹽埕區,興仁段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),520000,,,,Y,1100509,土地為高雄市政府所有,1,41,,,,,35.6,,鋼筋混凝土造,16,750217,35,七層,,,北斗街5號7樓之30,鹽埕區,鹽壽段
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,Y,住宅大樓(11F含以上有電梯),4700000,,,,Y,1100525,親友、員工、共有人或其他特殊關係間之交易;二親等兄弟買賣，部份現金支付及部份視同贈與，買賣遠低於市場行情,1,30,16.71,其他:第三種商業區,,,173.14,住家用,鋼筋混凝土造,15,960103,14,二層,0,6.65,七賢三路1號二樓之12,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,4,2,4,Y,透天厝,20730000,,,,N,1100520,,1,30,56,其他:第四種商業區,,,154.2,,鋼筋混凝土造,3,711221,38,一層;二層;三層;騎樓;地下層,,,七賢三路73號,鹽埕區,興福段
買賣,房地(土地+建物),5,1,,7,3,4,Y,透天厝,23102000,,,,N,1100520,,1,33,74.5,其他:第五種商業區,,,481.12,住商用,加強磚造,4,451230,64,一層;二層;三層;四層;騎樓,,,七賢三路92之2、92之3號,鹽埕區,大勇段
買賣,房地(土地+建物),5,1,,6,2,5,Y,透天厝,21000000,,,,N,1100612,,1,38,123.46,其他:第四種商業區,,,422.68,,鋼筋混凝土造,4,630404,47,一層;二層;三層;四層;騎樓,,,瀨南街170號,鹽埕區,鹽國段
買賣,房地(土地+建物),1,1,,3,1,3,Y,公寓(5F含以下無電梯),7600000,,,,Y,1100131,,2,131,28.74,其他:第三種住宅區,,,100.86,,鋼筋混凝土造,5,700425,40,一層;二層,,,龍德路61巷11號,鼓山區,龍華段三小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),5360000,,,,Y,1100208,,2,147,7.96,其他:特定第四種商業區,,,83.71,住家用,鋼筋混凝土造,15,950825,14,八層,,,美術東四路309號八樓,鼓山區,青海段
買賣,房地(土地+建物),1,1,,3,2,1,Y,住宅大樓(11F含以上有電梯),6450000,,,,Y,1100227,,2,158,10.33,其他:第五種住宅區,,,89.62,住家用,鋼筋混凝土造,15,950316,15,十一層,,,裕國街83號十一樓,鼓山區,龍中段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),12700000,,,800000,Y,1100228,,2,147,17.06,其他:特定第五種住宅區,,,163.15,住家用,鋼筋混凝土造,15,1040311,6,十五層,800000,7.52,美術南五街57號十五樓,鼓山區,青海段
買賣,房地(土地+建物),1,1,,3,2,2,Y,透天厝,8420000,,,,N,1100228,,2,121,55,其他:第四種住宅區,,,81.1,,加強磚造,2,630612,47,一層;二層;騎樓,,,鼓山三路128之5號,鼓山區,內惟段一小段
買賣,房地(土地+建物),1,1,,6,2,5,Y,透天厝,24680000,,,,N,1100302,,2,130,82,其他:第五種住宅區,,,358.77,見其它登記事項,見其它登記事項,5,1050128,5,一層;二層;三層;四層;五層;屋頂突出物,,,中華一路131巷5號,鼓山區,龍華段二小段
