申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
1120719,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,670,000",,,"2,000,000",有,1101115,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,四層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號四樓之１,鹽埕區,鹽府段,01960000,00467000,0901.預售屋、或土地及建物分件登記案件,
1120718,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,620,000",,,"2,100,000",有,1100815,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,五層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號五樓之１,鹽埕區,鹽府段,01960000,00468000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,620,000",,,"2,200,000",有,1090713,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十七層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號十七樓之２,鹽埕區,鹽府段,01960000,00507000,0901.預售屋、或土地及建物分件登記案件,
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,600,000",,,"2,000,000",有,1090807,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十九層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十九樓之２,鹽埕區,鹽府段,01960000,00509000,0901.預售屋、或土地及建物分件登記案件,
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,480,000",,,"1,700,000",有,1101120,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,三層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號三樓之１,鹽埕區,鹽府段,01960000,00466000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,380,000",,,"2,000,000",有,1090613,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十六層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十六樓之２,鹽埕區,鹽府段,01960000,00506000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,200,000",,,"2,100,000",有,1090829,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,八層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號八樓之１,鹽埕區,鹽府段,01960000,00471000,0901.預售屋、或土地及建物分件登記案件,
1120626,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,150,000",,,"1,800,000",有,1090520,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號十樓之１,鹽埕區,鹽府段,01960000,00473000,0901.預售屋、或土地及建物分件登記案件,
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,100,000",,,"1,750,000",有,1100524,13.58,其他-第四種商業區,,,218.44,見其他登記事項,見其他登記事項,029,1120418,0,六層;,"1,750,000",25.72,高雄市鹽埕區七賢二路４６０號六樓之１,鹽埕區,鹽府段,01960000,00469000,0901.預售屋、或土地及建物分件登記案件,
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,900,000",,,"2,100,000",有,1090601,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十一層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號十一樓之２,鹽埕區,鹽府段,01960000,00501000,0901.預售屋、或土地及建物分件登記案件,
1120718,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,880,000",,,"1,800,000",有,1090721,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,七層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號七樓之１,鹽埕區,鹽府段,01960000,00470000,0901.預售屋、或土地及建物分件登記案件,
1120714,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,830,000",,,"1,700,000",有,1090701,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十五層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號十五樓之２,鹽埕區,鹽府段,01960000,00505000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,820,000",,,"2,000,000",有,1090506,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十二層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十二樓之２,鹽埕區,鹽府段,01960000,00502000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,730,000",,,"1,700,000",有,1090714,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十三層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號十三樓之２,鹽埕區,鹽府段,01960000,00503000,0901.預售屋、或土地及建物分件登記案件,本案於110.12.01讓渡，讓渡金額新台幣1523萬元整。
1120804,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,570,000",,,"2,000,000",有,1090705,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,九層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號九樓之２,鹽埕區,鹽府段,01960000,00499000,0901.預售屋、或土地及建物分件登記案件,
1120719,房地(土地+建物),4,1,,,,,無,透天厝,"14,500,000",,,,無,1120612,70.51,其他-第四種商業區,,,144.02,見其他登記事項,見其他登記事項,004,0351001,77,一層;二層;三層;四層;騎樓;,,,高雄市鹽埕區大公路５７號,鹽埕區,鹽中段,07870000,00628000,,
1120626,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,350,000",,,"1,800,000",有,1090520,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,十層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號十樓之２,鹽埕區,鹽府段,01960000,00500000,0901.預售屋、或土地及建物分件登記案件,
1120718,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,320,000",,,"2,100,000",有,1090807,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,七層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號七樓之２,鹽埕區,鹽府段,01960000,00497000,0901.預售屋、或土地及建物分件登記案件,
1120802,房地(土地+建物),1,1,,5,2,3,有,透天厝,"14,300,000",,,,無,1120720,60.00,其他-第四種住宅區,,,149.61,無建物主要用途資料,加強磚造,003,0620516,50,一層;二層;三層;騎樓;,,,高雄市鹽埕區大禮街１０之７號,鹽埕區,大成段,04860000,00625000,0102.傢俱設備費0302.頂樓加蓋0303.夾層0304.其他增建,
1120817,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"14,280,000",,,"1,350,000",有,1120701,7.26,其他-特定第四種商業區,,,113.48,見其他登記事項,見其他登記事項,029,1120321,0,八層;,"1,350,000",18.52,高雄市鼓山區美術東六街１６９號八樓,鹽埕區,青海段,02100001,15802000,,含裝潢
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,080,000",,,"1,800,000",有,1090527,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,八層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號八樓之２,鹽埕區,鹽府段,01960000,00498000,0901.預售屋、或土地及建物分件登記案件,
1120804,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,000,000",,,"1,800,000",有,1090722,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,六層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號六樓之２,鹽埕區,鹽府段,01960000,00496000,0901.預售屋、或土地及建物分件登記案件,
1120809,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"14,000,000",,,"2,200,000",有,1090518,10.09,其他-第四種商業區,,,171.12,見其他登記事項,見其他登記事項,029,1120418,0,二十五層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號二十五樓之３,鹽埕區,鹽府段,01960000,00541000,0901.預售屋、或土地及建物分件登記案件,
1120804,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"13,940,000",,,"1,800,000",有,1090622,10.09,其他-第四種商業區,,,171.12,見其他登記事項,見其他登記事項,029,1120418,0,二十九層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號二十九樓之３,鹽埕區,鹽府段,01960000,00545000,0901.預售屋、或土地及建物分件登記案件,
