申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,土地,5,0,,,,,有,,"2,500,000",,,,無,1100515,,3,菜公段五小段,23,第三種住宅區,,,,無建物主要用途資料,無建物主要建材,,,,,,,菜公段五小段 776-4 地號,左營區,菜公段五小段,7760004,,,1100701
買賣,土地,2,0,,,,,有,,"29,430,000",,,,無,1100331,,4,高昌段,278,第四種住宅區,,,,無建物主要用途資料,無建物主要建材,,,,,,,高昌段 320-2 地號,楠梓區,高昌段,3200002,,,1100701
買賣,房地(土地+建物),2,1,,5,2,4,有,透天厝,"15,500,000",,,,無,1100425,,4,援中段一小段,82.15,第三種住宅區,,,203.24,見其他登記事項,見其他登記事項,5,1090428,1,一層;二層;三層;四層;五層;,,,大學五十八街328巷11號,楠梓區,援中段一小段,540013,1881000,,1100701
買賣,房地(土地+建物),2,1,,4,2,4,有,透天厝,"13,420,000",,,,無,1100522,,4,援中段一小段,63.03,第三種住宅區,,,171.08,見其他登記事項,見其他登記事項,4,1091113,1,一層;二層;三層;四層;屋頂突出物;,,,大學六十街86巷9號,楠梓區,援中段一小段,100099,2044000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"8,760,000",,,"900,000",有,1100522,,4,援中段二小段,21.78,第四種住宅區,,,168.38,見其他登記事項,見其他登記事項,15,1091110,1,四層;,"900,000",8.31,大學三十三街60號四樓,楠梓區,援中段二小段,720000,86000,0101.裝潢費,1100701
買賣,房地(土地+建物),1,1,,5,2,4,有,透天厝,"8,100,000",,,,無,1100421,,4,藍昌段一小段,58,第三種住宅區,,,72.1,無建物主要用途資料,加強磚造,2,691203,40,一層;二層;,,,民昌街326巷6號,楠梓區,藍昌段一小段,5430000,584000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"6,750,000",,,,有,1100523,,4,和平段五小段,11.34,第五種住宅區,,,171.5,住家用,鋼筋混凝土造,23,851028,25,十六層;,0,0,德賢路555巷11號十六樓,楠梓區,和平段五小段,2630000,2937000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"6,250,000",,,"700,000",有,1100527,,4,和平段五小段,13.42,市場用地,,,168.09,見其他登記事項,鋼筋混凝土造,21,860107,24,八層;,"700,000",0,德賢路380巷26號八樓之9,楠梓區,和平段五小段,640000,3439000,0301.陽台外推,1100701
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"5,650,000",,,,有,1100615,,4,加昌段,13.01,第五種住宅區,,,112.2,住家用,鋼筋混凝土造,15,941130,16,八層;,,,加宏路117巷13號八樓,楠梓區,加昌段,12550000,5453000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"4,650,000",,,,有,1100307,,4,清豐段,10.89,第三種商業區,,,118.5,住家用,鋼筋混凝土造,15,951016,14,九層;,0,35.43,興楠路309巷50弄7號九樓,楠梓區,清豐段,4550000,2678000,,1100701
