申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,房地(土地+建物),1,1,,4,2,2,Y,公寓(5F含以下無電梯),2930000,,,,N,1100313,,1,31,23.5,其他:第四種住宅區,,,80.71,,鋼筋混凝土造,5,680811,42,四層,,,田單街3號4樓之1,鹽埕區,興橋段
買賣,建物,0,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),530000,,,,Y,1100309,,1,41,,,,,35.41,,鋼筋混凝土造,16,750217,35,十一層,,,七賢三路269號11樓之15,鹽埕區,鹽壽段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),500000,,,,Y,1091225,,1,41,,,,,36.67,,鋼筋混凝土造,16,750217,35,十六層,,,七賢三路269號16樓之37,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1050000,,,,Y,1091228,,1,5,2.42,其他:第五種商業區,,,30.16,,鋼筋混凝土造,12,701124,39,五層,,,府北路25號5樓之4,鹽埕區,府北段五小段
買賣,土地,1,0,,,,,Y,,2875250,,,,N,1091218,,1,35,25,其他:第四種住宅區,,,,,,,,,,,,大成段76-0地號,鹽埕區,大成段
買賣,房地(土地+建物),3,1,,4,1,5,Y,透天厝,19000000,,,,N,1091210,,1,39,73,其他:第四種商業區,,,219.2,住商用,鋼筋混凝土造,4,650416,45,一層;二層;三層;四層;騎樓,,,大公路69號,鹽埕區,鹽中段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),280000,,,,Y,1100105,,1,41,,,,,37.79,,鋼筋混凝土造,16,750217,35,八層,,,北斗街5號8樓之9,鹽埕區,鹽壽段
買賣,房地(土地+建物),3,2,,8,2,4,Y,住宅大樓(11F含以上有電梯),26800000,,,,N,1100108,,1,30,32.8,其他:第四種商業區,,,285.64,商業用,鋼筋混凝土造,11,850103,25,二層,,,必忠街247號二樓,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,3,1,2,Y,透天厝,4690000,,,,N,1091113,,1,29,45,其他:第五種商業區,,,140.04,,加強磚造,4,491223,60,一層;二層;三層;四層,,,五福四路260巷18號,鹽埕區,興仁段
買賣,土地,1,0,,,,,Y,,698500,,,,N,1100113,,1,32,5,其他:第三種商業區,,,,,,,,,,,,大東段491-0地號,鹽埕區,大東段
買賣,房地(土地+建物),3,1,,9,1,9,Y,透天厝,16333333,,,,N,1090909,,1,29,99.33,其他:第五種商業區,,,291.46,商業用,磚造,3,2502,85,一層;二層;三層;騎樓,,,五福四路266號,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9980000,,,1300000,Y,1091230,,1,29,9.37,其他:第五種商業區,,,142.42,見其它登記事項,見其它登記事項,15,1090515,1,十層,1300000,16.41,大公路99號十樓之3,鹽埕區,興仁段
