申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物),1,1,,3,2,1,有,住宅大樓(11層含以上有電梯),"6,000,000",,,,有,1121107,10.72,其他-第五種商業區,,,84.16,住家用,鋼筋混凝土造,七層;,0840506,29,七層;,,,高雄市鹽埕區富野路２５號七樓之１,鹽埕區,鹽中段,00600000,00484000,0201.親友、員工、共有人或其他特殊關係間之交易0301.陽台外推,
買賣,土地,1,0,,,,,無,,"5,250,000",,,,無,1121016,50.00,其他-第四種住宅區,,,,無建物主要用途資料,無建物主要建材,,,,,,,,鹽埕區,大成段,00730000,,0401.未登記建物,
買賣,房地(土地+建物)+車位,1,1,1,,,,無,住宅大樓(11層含以上有電梯),"5,200,000",,,,有,1120901,28.43,其他-第五種商業區,,,213.19,商業用,鋼筋混凝土造,十二層;,0810120,32,十二層;,0,0.00,高雄市鹽埕區七賢二路４７２號十二樓,鹽埕區,鹽府段,01300000,00291000,,
買賣,房地(土地+建物),1,1,,4,2,2,有,住宅大樓(11層含以上有電梯),"5,000,000",,,,有,1121101,15.93,其他-第五種商業區,,,121.08,住家用,鋼筋混凝土造,十層;,0780607,34,十層;,,,高雄市鹽埕區七賢三路２３１號十樓之２,鹽埕區,鹽壽段,00660000,01064000,,
買賣,房地(土地+建物),2,1,,0,1,1,有,華廈(10層含以下有電梯),"4,900,000",,,,無,1120921,18.20,其他-第四種商業區,,,48.08,無建物主要用途資料,鋼筋混凝土造,一層;騎樓;,0701228,42,一層;騎樓;,,,高雄市鹽埕區大安街１９５號,鹽埕區,興橋段,02310000,00118000,,
買賣,土地,2,0,,,,,無,,"4,500,000",,,,無,1120813,77.00,其他-第四種商業區,,,,無建物主要用途資料,無建物主要建材,,,,,,,,鹽埕區,鹽中段,03120000,,,
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"4,380,000",,,,有,1121130,6.02,其他-第五種商業區,,,49.53,住家用,鋼筋混凝土造,七層;,0890824,23,七層;,,,高雄市鹽埕區七賢三路１９６號七樓之２,鹽埕區,鹽中段,03840000,00522000,0304.其他增建,
買賣,房地(土地+建物),1,1,,3,2,2,有,公寓(5樓含以下無電梯),"4,380,000",,,,無,1121102,27.91,其他-第四種住宅區,,,84.79,無建物主要用途資料,鋼筋混凝土造,三層;,0691007,43,三層;,,,高雄市鹽埕區安石街４１號３樓之６,鹽埕區,興橋段,02570000,00938000,,
買賣,房地(土地+建物),6,1,,3,2,1,有,公寓(5樓含以下無電梯),"4,300,000",,,,無,1120920,46.77,其他-第四種住宅區,,,65.94,無建物主要用途資料,鋼筋混凝土造,一層;,0650519,47,一層;,,,高雄市鹽埕區北端街７巷７４號,鹽埕區,興橋段,00900000,00779000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),2,1,,3,1,2,有,公寓(5樓含以下無電梯),"4,100,000",,,,無,1120825,23.97,其他-第四種住宅區,,,82.62,無建物主要用途資料,鋼筋混凝土造,三層;,0731219,39,三層;,,,高雄市鹽埕區安石街１１號３樓之１,鹽埕區,興橋段,02640000,01130000,,本標的目前客臥屋頂及壁角處有滲漏水情形，買方同意自行修復並負擔修繕所需費用，賣方已折讓價金，依現況點交給買方，賣方不負民法規範滲漏水瑕疵保固之
買賣,房地(土地+建物),2,1,,2,2,2,有,住宅大樓(11層含以上有電梯),"4,030,000",,,,有,1121111,7.79,其他-第五種商業區,,,77.89,無建物主要用途資料,鋼筋混凝土造,十層;,0721212,40,十層;,,,高雄市鹽埕區七賢三路１４７號１０樓之５,鹽埕區,興仁段,05000000,00029000,0102.傢俱設備費,
買賣,房地(土地+建物),2,1,,3,2,1,有,華廈(10層含以下有電梯),"4,000,000",,,,有,1121025,15.27,其他-第四種商業區,,,74.28,無建物主要用途資料,鋼筋混凝土造,三層;,0701228,42,三層;,,,高雄市鹽埕區大安街１８１號３樓之１,鹽埕區,興橋段,02310000,00977000,,
買賣,房地(土地+建物),2,1,,3,2,2,有,公寓(5樓含以下無電梯),"3,700,000",,,,無,1120926,23.97,其他-第四種住宅區,,,82.62,無建物主要用途資料,鋼筋混凝土造,二層;,0731219,39,二層;,,,高雄市鹽埕區安石街１１號２樓之２,鹽埕區,興橋段,02640000,01129000,,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"3,650,000",,,,有,1121012,6.35,其他-第四種商業區,,,49.68,無建物主要用途資料,鋼筋混凝土造,一層;二層;騎樓;,0690618,43,一層;二層;騎樓;,,,高雄市鹽埕區大為街１３號,鹽埕區,府北段五小段,01460000,00256000,,
買賣,房地(土地+建物),2,2,,4,2,2,有,公寓(5樓含以下無電梯),"3,380,000",,,,無,1120823,27.20,其他-第四種商業區,,,65.80,無建物主要用途資料,鋼筋混凝土造,四層;,0680221,45,四層;,,,高雄市鹽埕區五福四路３２５號四樓之５,鹽埕區,興福段,02400000,00229000,0304.其他增建,"二戶打通改隔局為4房2廳2衛.
二戶有拆價.五福四路325號四樓之3價金為145萬.五福四路325號四樓之5價金為193萬
附贈冷氣一台"
買賣,房地(土地+建物),1,2,,2,0,2,有,住宅大樓(11層含以上有電梯),"3,350,000",,,,有,1121021,5.11,其他-第五種商業區,,,22.90,無建物主要用途資料,鋼筋混凝土造,十二層;,0701124,42,十二層;,,,高雄市鹽埕區府北路２５號１２樓之６,鹽埕區,府北段五小段,02210000,01160000,0101.裝潢費0102.傢俱設備費,
買賣,房地(土地+建物),1,1,,3,1,2,有,住宅大樓(11層含以上有電梯),"3,000,000",,,,有,1120920,8.24,其他-第四種商業區,,,83.77,無建物主要用途資料,鋼筋混凝土造,七層;,0691106,43,七層;,,,高雄市鹽埕區大為街１號７樓之１,鹽埕區,府北段五小段,01470000,00688000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"3,000,000",,,,有,1121002,4.98,其他-第五種商業區,,,41.89,無建物主要用途資料,鋼筋混凝土造,一層;二層;,0701124,42,一層;二層;,,,高雄市鹽埕區府北路２５之５號,鹽埕區,府北段五小段,02210000,01307000,,賣方已折價讓售予買方.不負房屋瑕疵擔保責任
